"{'nol': 8, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5053763389587402, 0.7311828136444092, 0.8924731016159058, 0.9086021780967712, 0.8225806355476379, 0.9784946441650391, 0.8440860509872437, 0.9946236610412598, 1.0, 0.9892473220825195]","[0.7333333492279053, 0.6666666865348816, 0.6666666865348816, 0.4000000059604645, 0.7333333492279053, 0.7666666507720947, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.3333333432674408]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5271739363670349, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5107526779174805, 0.5, 0.6344085931777954, 0.6505376100540161, 0.6774193644523621, 0.6666666865348816, 0.6881720423698425, 0.7096773982048035, 0.7043010592460632, 0.725806474685669]","[0.7419354915618896, 0.7419354915618896, 0.6774193644523621, 0.7419354915618896, 0.7096773982048035, 0.6774193644523621, 0.6451612710952759, 0.6774193644523621, 0.6774193644523621, 0.7096773982048035]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.45698925852775574, 0.5698924660682678, 0.6720430254936218, 0.7043010592460632, 0.7634408473968506, 0.725806474685669, 0.6612903475761414, 0.7150537371635437, 0.7419354915618896, 0.7419354915618896]","[0.30000001192092896, 0.46666666865348816, 0.6666666865348816, 0.699999988079071, 0.6000000238418579, 0.800000011920929, 0.6333333253860474, 0.5333333611488342, 0.7666666507720947, 0.6666666865348816]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4784946143627167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5161290168762207, 0.5430107712745667, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5163043737411499, 0.635869562625885, 0.6413043737411499, 0.7445651888847351, 0.842391312122345, 0.89673912525177, 0.989130437374115, 0.989130437374115, 0.9945651888847351, 0.9945651888847351]","[0.774193525314331, 0.35483869910240173, 0.6774193644523621, 0.6774193644523621, 0.7096773982048035, 0.774193525314331, 0.7096773982048035, 0.7419354915618896, 0.774193525314331, 0.7419354915618896]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5376344323158264, 0.6559139490127563, 0.8225806355476379, 0.8494623899459839, 0.9623655676841736, 0.9731183052062988, 0.9946236610412598, 0.9892473220825195, 0.9946236610412598, 1.0]","[0.25806450843811035, 0.4516128897666931, 0.4516128897666931, 0.5806451439857483, 0.5806451439857483, 0.7419354915618896, 0.6451612710952759, 0.7419354915618896, 0.6774193644523621, 0.7096773982048035]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4838709533214569, 0.5376344323158264, 0.6666666865348816, 0.7849462628364563, 0.897849440574646, 0.9731183052062988, 1.0, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.7666666507720947, 0.6000000238418579, 0.6000000238418579, 0.6333333253860474, 0.699999988079071, 0.7666666507720947, 0.7333333492279053, 0.7666666507720947, 0.800000011920929]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5752688050270081, 0.6612903475761414, 0.725806474685669, 0.8279569745063782, 0.9193548560142517, 0.9731183052062988, 0.9838709831237793, 0.9946236610412598, 0.9946236610412598, 0.9892473220825195]","[0.7333333492279053, 0.7666666507720947, 0.8333333134651184, 0.5, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.7666666507720947, 0.6000000238418579, 0.6000000238418579]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.45698925852775574, 0.5537634491920471, 0.698924720287323, 0.725806474685669, 0.9086021780967712, 0.9677419066429138, 0.9946236610412598, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.5666666626930237, 0.46666666865348816, 0.7333333492279053, 0.7666666507720947, 0.7666666507720947, 0.800000011920929, 0.699999988079071, 0.699999988079071, 0.6333333253860474]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.52173912525177, 0.66847825050354, 0.79347825050354, 0.9239130616188049, 0.820652186870575, 0.95652174949646, 0.945652186870575, 1.0, 1.0, 1.0]","[0.774193525314331, 0.774193525314331, 0.6451612710952759, 0.774193525314331, 0.7419354915618896, 0.8387096524238586, 0.7419354915618896, 0.8064516186714172, 0.774193525314331, 0.774193525314331]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5107526779174805, 0.6236559152603149, 0.8709677457809448, 0.8118279576301575, 0.9731183052062988, 0.9408602118492126, 0.9946236610412598, 1.0, 1.0, 1.0]","[0.5483871102333069, 0.5483871102333069, 0.7419354915618896, 0.6451612710952759, 0.7419354915618896, 0.7419354915618896, 0.774193525314331, 0.7419354915618896, 0.7419354915618896, 0.7096773982048035]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.725806474685669, 0.9408602118492126, 0.8763440847396851, 0.9892473220825195, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.6000000238418579, 0.800000011920929, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184, 0.8333333134651184]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5161290168762207, 0.7419354915618896, 0.8602150678634644, 0.8494623899459839, 0.9569892287254333, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.8333333134651184, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 8, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5053763389587402, 0.6720430254936218, 0.7688171863555908, 0.9677419066429138, 0.9838709831237793, 0.6505376100540161, 0.8870967626571655, 0.9139785170555115, 1.0, 0.9946236610412598]","[0.5666666626930237, 0.7666666507720947, 0.7333333492279053, 0.8333333134651184, 0.7333333492279053, 0.7666666507720947, 0.800000011920929, 0.7666666507720947, 0.800000011920929, 0.800000011920929]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.44565218687057495, 0.5, 0.5, 0.5, 0.5163043737411499, 0.625, 0.6847826242446899, 0.72826087474823, 0.79347825050354, 0.85326087474823]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.8064516186714172, 0.774193525314331, 0.774193525314331, 0.5806451439857483]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.44086021184921265, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.5, 0.5, 0.5215053558349609, 0.6881720423698425, 0.7473118305206299, 0.7204301357269287, 0.725806474685669, 0.7903226017951965, 0.7849462628364563]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.800000011920929, 0.6666666865348816, 0.5333333611488342, 0.5333333611488342, 0.5, 0.699999988079071, 0.5]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.6505376100540161, 0.7526881694793701, 0.7849462628364563, 0.7473118305206299, 0.7795698642730713, 0.7849462628364563, 0.8602150678634644, 0.9086021780967712, 0.725806474685669]","[0.7333333492279053, 0.7333333492279053, 0.6666666865348816, 0.7666666507720947, 0.5333333611488342, 0.4333333373069763, 0.4000000059604645, 0.7333333492279053, 0.7333333492279053, 0.699999988079071]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.532608687877655, 0.532608687877655, 0.7119565010070801, 0.8097826242446899, 0.929347813129425, 0.95652174949646, 0.989130437374115, 1.0, 1.0, 1.0]","[0.774193525314331, 0.22580644488334656, 0.5806451439857483, 0.5483871102333069, 0.7419354915618896, 0.5483871102333069, 0.4516128897666931, 0.7096773982048035, 0.5806451439857483, 0.5483871102333069]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4516128897666931, 0.5430107712745667, 0.6881720423698425, 0.7795698642730713, 0.8817204236984253, 0.9408602118492126, 0.9677419066429138, 0.9838709831237793, 0.9946236610412598, 1.0]","[0.7419354915618896, 0.7419354915618896, 0.4838709533214569, 0.6129032373428345, 0.5483871102333069, 0.6129032373428345, 0.7419354915618896, 0.6774193644523621, 0.7419354915618896, 0.7419354915618896]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.49462366104125977, 0.6774193644523621, 0.8064516186714172, 0.8817204236984253, 0.9731183052062988, 0.9784946441650391, 1.0, 0.9892473220825195, 1.0]","[0.2666666805744171, 0.7666666507720947, 0.7666666507720947, 0.6333333253860474, 0.7333333492279053, 0.699999988079071, 0.7333333492279053, 0.7666666507720947, 0.699999988079071, 0.7333333492279053]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.5268816947937012, 0.6720430254936218, 0.8064516186714172, 0.9516128897666931, 0.9731183052062988, 0.9784946441650391, 0.9838709831237793, 0.9623655676841736, 0.9946236610412598]","[0.23333333432674408, 0.4000000059604645, 0.6333333253860474, 0.5333333611488342, 0.6333333253860474, 0.6333333253860474, 0.7333333492279053, 0.6333333253860474, 0.6666666865348816, 0.699999988079071]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.6129032373428345, 0.7096773982048035, 0.7849462628364563, 0.8655914068222046, 0.9569892287254333, 0.9784946441650391, 0.9838709831237793, 1.0, 0.9946236610412598]","[0.4333333373069763, 0.699999988079071, 0.699999988079071, 0.5666666626930237, 0.699999988079071, 0.7333333492279053, 0.699999988079071, 0.800000011920929, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4728260934352875, 0.5489130616188049, 0.6739130616188049, 0.820652186870575, 0.9130434989929199, 0.8478260636329651, 0.929347813129425, 0.9728260636329651, 0.989130437374115, 1.0]","[0.774193525314331, 0.7419354915618896, 0.6774193644523621, 0.774193525314331, 0.7419354915618896, 0.7096773982048035, 0.5806451439857483, 0.6774193644523621, 0.7419354915618896, 0.774193525314331]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.45698925852775574, 0.6720430254936218, 0.6935483813285828, 0.8225806355476379, 0.7688171863555908, 0.9462365508079529, 0.8333333134651184, 0.9892473220825195, 1.0, 0.9892473220825195]","[0.25806450843811035, 0.6129032373428345, 0.4516128897666931, 0.7419354915618896, 0.6451612710952759, 0.32258063554763794, 0.5161290168762207, 0.6129032373428345, 0.7096773982048035, 0.7419354915618896]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5376344323158264, 0.6290322542190552, 0.8655914068222046, 0.7473118305206299, 0.9462365508079529, 0.9516128897666931, 1.0, 1.0, 1.0, 1.0]","[0.30000001192092896, 0.7666666507720947, 0.7666666507720947, 0.699999988079071, 0.8333333134651184, 0.800000011920929, 0.8333333134651184, 0.7333333492279053, 0.800000011920929, 0.7666666507720947]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4354838728904724, 0.6774193644523621, 0.7150537371635437, 0.8494623899459839, 0.8387096524238586, 0.8333333134651184, 0.9408602118492126, 0.9946236610412598, 1.0, 1.0]","[0.2666666805744171, 0.7666666507720947, 0.6666666865348816, 0.699999988079071, 0.5666666626930237, 0.7333333492279053, 0.800000011920929, 0.7333333492279053, 0.7333333492279053, 0.7333333492279053]"
"{'nol': 8, 'nod': 4, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4354838728904724, 0.602150559425354, 0.8064516186714172, 0.801075279712677, 0.9086021780967712, 0.8548387289047241, 0.9462365508079529, 0.9892473220825195, 1.0, 1.0]","[0.30000001192092896, 0.7666666507720947, 0.4000000059604645, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.800000011920929, 0.8333333134651184, 0.800000011920929, 0.8333333134651184]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5163043737411499, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5107526779174805, 0.6290322542190552, 0.6290322542190552, 0.6344085931777954, 0.6236559152603149, 0.6397849321365356, 0.5860214829444885, 0.5483871102333069, 0.5376344323158264, 0.5860214829444885]","[0.6129032373428345, 0.6129032373428345, 0.6451612710952759, 0.7096773982048035, 0.6774193644523621, 0.7419354915618896, 0.7096773982048035, 0.7096773982048035, 0.774193525314331, 0.7096773982048035]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5215053558349609, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5268816947937012, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4784946143627167, 0.47311827540397644, 0.5053763389587402, 0.5, 0.5376344323158264, 0.6505376100540161, 0.6290322542190552, 0.698924720287323, 0.6182795763015747, 0.5698924660682678]","[0.6333333253860474, 0.6333333253860474, 0.6666666865348816, 0.6666666865348816, 0.5333333611488342, 0.4000000059604645, 0.6666666865348816, 0.6666666865348816, 0.6666666865348816, 0.7666666507720947]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.47826087474823, 0.510869562625885, 0.739130437374115, 0.804347813129425, 0.8478260636329651, 0.945652186870575, 0.9836956262588501, 1.0, 0.9945651888847351, 0.9728260636329651]","[0.4838709533214569, 0.774193525314331, 0.7096773982048035, 0.774193525314331, 0.774193525314331, 0.7419354915618896, 0.774193525314331, 0.774193525314331, 0.6774193644523621, 0.774193525314331]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5483871102333069, 0.6451612710952759, 0.6397849321365356, 0.6505376100540161, 0.8279569745063782, 0.9193548560142517, 0.9462365508079529, 0.9784946441650391, 0.9838709831237793, 0.9946236610412598]","[0.3870967626571655, 0.5161290168762207, 0.4516128897666931, 0.8387096524238586, 0.774193525314331, 0.774193525314331, 0.8064516186714172, 0.8064516186714172, 0.8064516186714172, 0.8387096524238586]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5430107712745667, 0.5483871102333069, 0.6129032373428345, 0.725806474685669, 0.7795698642730713, 0.8655914068222046, 0.9247311949729919, 0.9784946441650391, 0.9731183052062988, 0.9892473220825195]","[0.23333333432674408, 0.6333333253860474, 0.5, 0.6666666865348816, 0.6000000238418579, 0.6000000238418579, 0.7333333492279053, 0.6333333253860474, 0.6666666865348816, 0.7333333492279053]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5161290168762207, 0.5913978219032288, 0.7150537371635437, 0.7795698642730713, 0.8387096524238586, 0.9301075339317322, 0.9623655676841736, 0.9784946441650391, 0.9946236610412598, 1.0]","[0.800000011920929, 0.5333333611488342, 0.46666666865348816, 0.46666666865348816, 0.6000000238418579, 0.6333333253860474, 0.5666666626930237, 0.800000011920929, 0.7333333492279053, 0.7666666507720947]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5268816947937012, 0.6182795763015747, 0.8172042965888977, 0.8924731016159058, 0.9408602118492126, 0.9838709831237793, 1.0, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.46666666865348816, 0.6000000238418579, 0.6333333253860474, 0.6333333253860474, 0.6333333253860474, 0.699999988079071, 0.6666666865348816, 0.6333333253860474, 0.6666666865348816]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5163043737411499, 0.739130437374115, 0.864130437374115, 0.8369565010070801, 0.9836956262588501, 0.9619565010070801, 0.7445651888847351, 0.9402173757553101, 1.0, 1.0]","[0.6129032373428345, 0.774193525314331, 0.4193548262119293, 0.6451612710952759, 0.6129032373428345, 0.4516128897666931, 0.6451612710952759, 0.6451612710952759, 0.5806451439857483, 0.6451612710952759]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4838709533214569, 0.7419354915618896, 0.8870967626571655, 0.9569892287254333, 0.9731183052062988, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6451612710952759, 0.6129032373428345, 0.6774193644523621, 0.6129032373428345, 0.7096773982048035, 0.7419354915618896, 0.7096773982048035, 0.7419354915618896, 0.7096773982048035, 0.7096773982048035]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.47311827540397644, 0.7688171863555908, 0.8602150678634644, 0.9354838728904724, 0.9462365508079529, 0.9892473220825195, 0.9946236610412598, 0.7795698642730713, 0.9623655676841736, 0.9838709831237793]","[0.7666666507720947, 0.7666666507720947, 0.6666666865348816, 0.7666666507720947, 0.7666666507720947, 0.800000011920929, 0.36666667461395264, 0.7666666507720947, 0.7666666507720947, 0.7333333492279053]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5053763389587402, 0.7956989407539368, 0.8655914068222046, 0.9892473220825195, 0.8118279576301575, 0.9946236610412598, 1.0, 1.0, 1.0, 1.0]","[0.800000011920929, 0.7666666507720947, 0.7666666507720947, 0.6666666865348816, 0.6333333253860474, 0.699999988079071, 0.699999988079071, 0.6666666865348816, 0.699999988079071, 0.699999988079071]"
"{'nol': 9, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5107526779174805, 0.7150537371635437, 0.8548387289047241, 0.8064516186714172, 0.9731183052062988, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.4333333373069763, 0.3333333432674408, 0.6000000238418579, 0.6333333253860474, 0.7666666507720947, 0.800000011920929, 0.800000011920929, 0.800000011920929, 0.8333333134651184]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5268816947937012, 0.5483871102333069, 0.5107526779174805, 0.5806451439857483, 0.602150559425354, 0.5967742204666138, 0.5322580933570862, 0.6075268983840942, 0.6397849321365356, 0.6129032373428345]","[0.6774193644523621, 0.7419354915618896, 0.5806451439857483, 0.6129032373428345, 0.5806451439857483, 0.3870967626571655, 0.5483871102333069, 0.5806451439857483, 0.6129032373428345, 0.5806451439857483]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5483871102333069, 0.4677419364452362, 0.5591397881507874, 0.5483871102333069, 0.5860214829444885, 0.602150559425354, 0.5645161271095276, 0.5913978219032288, 0.6129032373428345, 0.6075268983840942]","[0.23333333432674408, 0.6666666865348816, 0.5333333611488342, 0.699999988079071, 0.6666666865348816, 0.7333333492279053, 0.7333333492279053, 0.7666666507720947, 0.6666666865348816, 0.7333333492279053]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5537634491920471, 0.4784946143627167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.44086021184921265, 0.6451612710952759, 0.6881720423698425, 0.725806474685669, 0.7365591526031494, 0.7956989407539368, 0.7204301357269287, 0.7526881694793701, 0.8279569745063782, 0.8548387289047241]","[0.23333333432674408, 0.4000000059604645, 0.5333333611488342, 0.5666666626930237, 0.699999988079071, 0.7333333492279053, 0.5, 0.5, 0.800000011920929, 0.699999988079071]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.489130437374115, 0.5652173757553101, 0.60326087474823, 0.7554348111152649, 0.83152174949646, 0.9347826242446899, 0.9836956262588501, 0.9945651888847351, 0.9945651888847351, 1.0]","[0.22580644488334656, 0.5161290168762207, 0.6774193644523621, 0.5483871102333069, 0.6451612710952759, 0.774193525314331, 0.774193525314331, 0.6451612710952759, 0.7419354915618896, 0.774193525314331]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.602150559425354, 0.6559139490127563, 0.725806474685669, 0.8333333134651184, 0.9354838728904724, 0.9838709831237793, 0.9784946441650391, 0.9569892287254333, 0.9569892287254333, 0.9784946441650391]","[0.7419354915618896, 0.4193548262119293, 0.6774193644523621, 0.6451612710952759, 0.6129032373428345, 0.6129032373428345, 0.4516128897666931, 0.8064516186714172, 0.4516128897666931, 0.8387096524238586]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.6075268983840942, 0.5645161271095276, 0.6397849321365356, 0.7956989407539368, 0.8817204236984253, 0.9892473220825195, 1.0, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.3333333432674408, 0.7333333492279053, 0.7333333492279053, 0.7666666507720947, 0.7333333492279053, 0.7333333492279053, 0.7666666507720947, 0.7666666507720947, 0.7333333492279053]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5591397881507874, 0.6881720423698425, 0.7580645084381104, 0.8924731016159058, 0.9731183052062988, 1.0, 1.0, 0.9946236610412598, 0.9623655676841736, 0.9462365508079529]","[0.6666666865348816, 0.5666666626930237, 0.699999988079071, 0.5666666626930237, 0.699999988079071, 0.6666666865348816, 0.6000000238418579, 0.7333333492279053, 0.6666666865348816, 0.6333333253860474]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5752688050270081, 0.5752688050270081, 0.7204301357269287, 0.7903226017951965, 0.8709677457809448, 0.9731183052062988, 0.9838709831237793, 0.9677419066429138, 0.9892473220825195, 0.9731183052062988]","[0.23333333432674408, 0.7666666507720947, 0.7666666507720947, 0.699999988079071, 0.800000011920929, 0.7666666507720947, 0.800000011920929, 0.7666666507720947, 0.7333333492279053, 0.800000011920929]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.46739131212234497, 0.7228260636329651, 0.77173912525177, 0.9347826242446899, 0.842391312122345, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5806451439857483, 0.6129032373428345, 0.5806451439857483, 0.7419354915618896, 0.6129032373428345, 0.7096773982048035, 0.6774193644523621, 0.6774193644523621, 0.6774193644523621, 0.6774193644523621]"
"{'nol': 9, 'nod': 3, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4838709533214569, 0.6720430254936218, 0.7580645084381104, 0.9247311949729919, 0.8440860509872437, 0.9946236610412598, 1.0, 1.0, 1.0, 1.0]","[0.8064516186714172, 0.7096773982048035, 0.6129032373428345, 0.25806450843811035, 0.8064516186714172, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
